nome,data,horario,etiquetas
26º Leilão Virtual Pecuária Martendal e Convidados - 2ª Etapa,05/11/2025,20:00,Nelore PO,Produção,,Maurício, Gordo
Leilão Virtual Pérolas do Vale & Amigos,06/11/2025,20:00,Nelore PO,Elite,,William
2º Leilão Virtual de Reprodutores e Matrizes Fazenda Império,06/11/2025,19:00,Nelore PO,Produção,,Kauê
3º Leilão Fazenda Laguna - Expoferr 2025,07/11/2025,20:00,Nelore PO,Produção,,Maurício
LIVE - Maquinários Suprema,07/11/2025,20:00,Maquinários/Implemntos,Outro,,(sem coord. no sistema)
Leilão Tabapuã Amazônia- Expoferr 2025,08/11/2025,13:00,Tabapuã,Produção,,Maurício
Leilão Virtual Girolando Santa Luzia - Vacas em Início de Lactação,08/11/2025,12:00,Girolando,Produção,,Arley
Leilão Virtual Nelore Paranã - Supreme ,08/11/2025,12:00,Nelore PO,Produção,,Flavinho
Leilão Virtual de Touros RG Peso Pesado,08/11/2025,12:00,Nelore PO,Elite,,Gordo
Leilão Axé - Nelore Jacuricy & Convidados,08/11/2025,12:00,Nelore PO,Produção,,Follador
2º Leilão Raizes de Ouro Fazenda AF- Etapa Touros,08/11/2025,12:00,Nelore PO,Produção,,Follador
Leilão Virtual Agroshop Grupo Suprema - 1ª Etapa,08/11/2025,10:00,Maquinários/Implemntos,Maquinários/Implementos,,Magella
Leilão Virtual Girolando Santa Luzia - Novilhas ,09/11/2025,09:00,Girolando,Produção,,Arley
Leilão Virtual Nelore JMP 2025 - Edição Touros,09/11/2025,09:00,Nelore PO,Produção,,Carlota
Leilão Virtual de Fêmeas RG Top Class,09/11/2025,09:00,Nelore PO,Produção,,Gordo
Leilão Virtual Agroshop Grupo Suprema - 2ª Etapa,09/11/2025,14:00,Maquinários/Implemntos,Maquinários/Implementos,,Magella
3º Leilão Reprodutores Nelore AB & Convidados,09/11/2025,09:00,Nelore PO,Produção,,Follador
133º Programa de Domingo - Programa e Soma Leilões,09/11/2025,09:00,Gado de Corte,Gado de Corte,,Magella
Leilião Shopping Elite Sabiá,09/11/2025,13:00,Nelore PO,Produção,,Flavinho
Leilão Virtual Fazenda Preciosa,10/11/2025,20:00,Nelore PO,Elite,,(sem coord. no sistema)
Leilão Virtual Fazenda Santa Rita,10/11/2025,19:30,Quarto de Milha,Elite,,Criar
Leilão Virtual Fazenda Angico - Reprodutores Nelore E Nelore Mocho PO,10/11/2025,19:00,Nelore PO, Mocho,Elite,,Flavinho
Leilão Virtual Gir Leiteiro Calciolandia,11/11/2025,20:00,Gir Leiteiro,Produção,,Arley
Leilão Virtual Matrizes Base Genética Mato Verde,11/11/2025,19:00,Nelore PO,Produção,,Antonio
Leilão Virtual Touros Fazenda Valônia Nelore,11/11/2025,20:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Asininos VRC & CVVR,11/11/2025,19:00,Assininos,Outro,,(sem coord. no sistema)
2º Leilão Seleção Everest,12/11/2025,19:00,Nelore Pintado,Produção,,William
Leilão Virtual Árabe HVP,12/11/2025,20:00,Arábe,Elite,,(sem coord. no sistema)
Leilão Virtual Touros Nelore ACN - 2ª Etapa,13/11/2025,19:00,Nelore PO,Elite,,(sem coord. no sistema), Maurício
Leilão Elite Nelore Águia & Amigos,13/11/2025,20:00,Nelore PO,Elite,,Flavinho
15º Leilão King Horse e Convidados - 1º Etapa,14/11/2025,20:00,Quarto de Milha,Elite,,Criar
1º Leilão Texas Longhorn  - Jatobá,14/11/2025,16:00,Longhorn,Elite,,Criar
Leilão Geração de ferro,14/11/2025,19:00,Quarto de Milha,Elite,,Criar
15º Leilão King Horse e Convidados - 2º Etapa,15/11/2025,14:00,,Elite,,Criar
10º Leilão Top Leite Fazenda Tradição e Convidados,15/11/2025,12:00,Girolando, Gir Leiteiro, Holandês,Produção,,Follador
Leilão Touros G. Sales Agropecuária,15/11/2025,12:00,Nelore PO,Produção,,Antonio
Leilão Nelore Água Fria - Pacajá,15/11/2025,13:00,Nelore PO,Produção,,Saulo
Leilão Virtual Touros Nelore Mafra - Edição Redenção,15/11/2025,12:00,Nelore PO,Elite,,(sem coord. no sistema), Gordo
Leilão Virtual São José do Can Can,15/11/2025,13:00,Gir Leiteiro,Produção,,Arley
Leilão Virtual Spring Day HRO,15/11/2025,12:00,Nelore PO,Elite,,Flavinho
14° Leilão Genética Fazenda Eldorado,16/11/2025,13:00,Nelore PO,Elite,,Flavinho
31º Leilão Virtual Nelore Cometa,16/11/2025,09:00,Nelore PO,Produção,,Maurício
2º Leilão Nelore JESB,16/11/2025,13:00,Nelore PO,Produção,,Follador
134º Programa de Domingo - Programa e Soma Leilões,16/11/2025,09:00,Gado de Corte,Gado de Corte,,Magella
Leilão Virtual Super Safra Santa Cruz,16/11/2025,09:00,Nelore PO,Produção,,Gordo
Leilão Virtual Senepol 3M - Touros e Fêmeas,17/11/2025,20:00,Senepol,Produção,,(sem coord. no sistema)
Leilão Virtual Força Genética - Touros Melhoradores,17/11/2025,19:00,Nelore PO,Produção,,Gordo
2º Leilão Virtual All Black,18/11/2025,20:00,Quarto de Milha,Elite,,Criar
Leilão Virtual Dez Marcas,18/11/2025,20:00,Gado de Corte,Gado de Corte,,(sem coord. no sistema)
Leilão Virtual CEPEX - Genética e Leite,18/11/2025,20:00,,Produção,,(sem coord. no sistema)
Leilão Virtual Elite Ouro Fino,18/11/2025,20:00,Nelore PO,Elite,,Flavinho
2º Leilão Appaloosa  & Quarto de Milha,19/11/2025,20:00,Quarto de Milha, Appalloosa,Elite,,Criar
Leilão Beneficente - Hospital do Câncer Goiania,19/11/2025,19:00,Beneficente,Outro,,(sem coord. no sistema)
5º Leilão Virtual de Touros Nelore Expedito e Naviraí,19/11/2025,19:00,Nelore PO,Produção,,(sem coord. no sistema)
V Leilão Virtual Vanguarda Nelore - Sino Agropecuária - Fême,19/11/2025,20:00,Nelore PO,Produção,,Gordo
7º Leilão Haras do Lay e Amigos,20/11/2025,19:00,Quarto de Milha,Elite,,Criar
Leilão Cataratas Collection 2025,20/11/2025,20:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Matrizes Di Genio,20/11/2025,10:00,Nelore PO,Elite,,Flavinho
V Leilão Virtual Vanguarda Nelore - Sino Agropecuária - Machos Melhoradores,20/11/2025,13:00,Nelore PO,Produção,,Gordo
Leilão Cataratas Collection 2025.,21/11/2025,20:00,Nelore PO,Elite,,Flavinho
3º Leilão Virtual Genética Camparino - Bezerras,22/11/2025,12:00,Nelore PO,Elite,,Gordo
Leilão AB Weekend 2025 - 20º Prova de Ganho em Peso a Pasto,22/11/2025,12:00,Nelore PO,Produção,,Follador
"Leilão Cataratas Collection 2025;,22/11/2025,12:00,Nelore PO,Elite,,Flavinho"
28º Leilão Virtual Gir e Girolando Bela Vista,23/11/2025,09:00,Gir Leiteiro, Girolando,Produção,,Arley
3º Leilão Virtual Genética Camparino - Touros,23/11/2025,09:00,Nelore PO,Elite,,Gordo
Leilão Agropastoril Balbino - Etapa Matrizes,23/11/2025,12:00,,Produção,,Follador
3ª Edição Leilão Rancho CBT & Amigos,23/11/2025,12:00,Quarto de Milha,Elite,,Criar
Leilão Virtual Agropecuária Kangayan,23/11/2025,13:00,Nelore PO,Gado de Corte,,Magella
135º Programa de Domingo - Programa e Soma Leilões,23/11/2025,09:00,Gado de Corte,Gado de Corte,,Magella
Leilão Virtual Fazenda São Lourenço Geração Premium,23/11/2025,09:00,Nelore PO,Produção,,Gordo
3º Leilão Virtual Genética Camparino - Sindi,24/11/2025,20:00,,Elite,,Gordo
Leilão Virtual Nelore Kado,24/11/2025,19:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Gir Seba,25/11/2025,20:00,Gir Leiteiro,Produção,,Paulinho
Leilão Virtual HC Working Selection,25/11/2025,20:00,,Elite,,Criar
5º Leilão Virtual Nelore Caraíbas - Etapa Touros,25/11/2025,19:00,Nelore PO,Produção,,Antonio
3º Leilão Virtual Fazenda Candelária,25/11/2025,20:00,Gado de Corte,Gado de Corte,,Magella
Leilão Virtual Nelore H&J,25/11/2025,20:00,Nelore PO,Elite,,Flavinho
5º Leilão Virtual Nelore Caraíbas - Etapa Fêmeas,26/11/2025,19:00,Nelore PO,Produção,,Antonio
Leilão EAO Chave de Ouro,27/11/2025,20:30,Nelore PO,Elite,,Flavinho
Leilão Roping Futurities,28/11/2025,20:00,,Elite,,Criar
Leilão SNL - 1º Etapa,28/11/2025,19:00,,Elite,,Flavinho
Leilão Cafula Experience 10 Anos,29/11/2025,16:00,,Elite,,Criar
17º Leilão Reprodutores Fazenda API,29/11/2025,13:00,Nelore PO,Produção,,Follador
Leilão SNL - 2º Etapa,29/11/2025,12:00,,Elite,,Flavinho
20º Leilão Virtual Nelore Ceia - 2025,29/11/2025,13:00,Nelore PO, Sindi, Nelore Pintado,Produção,,Maurício
Leilão Virtual Nelore Pintado Minas Gerais - Edição Ouro,29/11/2025,12:00,Nelore Pintado,Elite,,William
Leilão Essência Quarto de Milha,30/11/2025,12:00,Quarto de Milha,Elite,,Criar
2º Leilão Nelore Pintado Bahia - Criado com Arte - Fenagro 2025,30/11/2025,13:00,Nelore PO,Elite,,Follador
Leilão SNL - 3º Etapa,30/11/2025,10:00,,Elite,,Flavinho
Leilão Virtual Bezerras Terra Brava,30/11/2025,09:00,Nelore PO,Produção,,Antonio
Leilão Virtual Matrizes Macambira,30/11/2025,13:00,,Produção,,William
Leilão Virtual Touros Jovens Matinha,30/11/2025,09:00,Nelore PO,Elite,,(sem coord. no sistema)
Leilão Virtual Fazenda API,01/12/2025,20:00,,Produção,,Follador
Leilão Virtual Nelore Paranã. - Matrizes,01/12/2025,19:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Nelore Paranã - Matrizes,02/12/2025,19:00,Nelore PO,Elite,,Flavinho
Leilão Nelore Monica,04/12/2025,19:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Gir Calciolandia,04/12/2025,20:00,Gir Leiteiro,Produção,,Arley
11º Leilão Criadores do Vale do Paranã,05/12/2025,19:00,Gado de Corte,Gado de Corte,,Gordo
Leilão Joias da Raça Nelore,05/12/2025,20:00,Nelore PO,Elite,,Flavinho
Leilão Virtual Gir Leiteiro Agro Oliva e Convidados,05/12/2025,20:00,Gir Leiteiro,Produção,,Arley
Leilão Santa Irene - Elite,06/12/2025,12:00,Pintado,Elite,,Flavinho
Leilão Virtual Embasados,06/12/2025,13:00,Gir Leiteiro,Produção,,Arley
Leilão Virtual Girolando Agro Oliva e Convidados,06/12/2025,13:00,Girolando,Produção,,Arley
Leilão Virtual Estrelas do Nelore,06/12/2025,12:00,Nelore PO,Elite,,Follador
Nelore Fest 2025,06/12/2025,19:00,Nelore PO,Elite,,Mini
